Name,Location,Ranking,ProgramDetails,TuitionFees
University of Oxford,UK,Top 10 globally,Sciences,"Bachelor's degree, relevant science background",Varies,Equivalent to B+ or higher,7.0,
University of Melbourne,Australia,Top 50 globally,Science,"High school diploma, strong grades in science subjects",Varies,Equivalent to B or higher,6.5,
University of Melbourne,Australia,Top 50 globally,Engineering,"High school diploma, math and physics background",Varies,Equivalent to B or higher,6.5,
Indian Institute of Technology Bombay,India,Top 200 globally,Computer Science,"Bachelor's degree, programming skills",Varies,Equivalent to B or higher,6.5,
Indian Institute of Technology Bombay,India,Top 200 globally,Business Administration,"Bachelor's degree, work experience",Varies,Equivalent to B or higher,6.5,
Technical University of Munich,Germany,Top 50 in the world,Computer Science,"High school diploma, Mathematics background",$1500 per semester,Above 80%,6.5,Required (C1 level)
Technical University of Munich,Germany,Top 50 in the world,Engineering,"High school diploma, Physics and Mathematics background",$1500 per semester,Above 85%,6.5,Required (C1 level)
Technical University of Munich,Germany,Top 50 in the world,Business Administration,"High school diploma, Economics background",$1500 per semester,Above 80%,6.5,Required (C1 level)
University of Melbourne,Australia,Top 50 in the world,Biomedical Science,"High school diploma, Biology background","$35,000 per year",Above 75%,7.0,
University of Melbourne,Australia,Top 50 in the world,Civil Engineering,"High school diploma, Mathematics and Physics background","$37,000 per year",Above 80%,7.0,
University of Melbourne,Australia,Top 50 in the world,Computer Science,"High school diploma, Computer Science background","$36,000 per year",Above 78%,7.0,
University College Dublin,Ireland,Top 200 in the world,Business Studies,"High school diploma, Mathematics and Economics background","$18,000 per year",Above 70%,6.5,
University College Dublin,Ireland,Top 200 in the world,Mechanical Engineering,"High school diploma, Physics and Mathematics background","$19,000 per year",Above 75%,6.5,
University College Dublin,Ireland,Top 200 in the world,Nursing,"High school diploma, Biology background","$17,000 per year",Above 70%,6.5,
"University of California, Los Angeles (UCLA)",USA,Top 20 in the world,Film and Television,"High school diploma, Portfolio submission","$33,000 per year",Above 75%,7.0,
"University of California, Los Angeles (UCLA)",USA,Top 20 in the world,Psychology,"High school diploma, Essay submission","$34,000 per year",Above 80%,7.0,
"University of California, Los Angeles (UCLA)",USA,Top 20 in the world,Business Economics,"High school diploma, Mathematics background","$35,000 per year",Above 85%,7.0,
University of Sydney,Australia,Top 50 in the world,Architecture,"High school diploma, Design portfolio submission","$36,000 per year",Above 80%,6.5,
University of Sydney,Australia,Top 50 in the world,Environmental Science,"High school diploma, Science background","$33,000 per year",Above 75%,6.5,
University of Sydney,Australia,Top 50 in the world,Law,"High school diploma, Legal Studies background","$38,000 per year",Above 85%,6.5,
University of Delhi,India,Top 500 in the world,Computer Science,"High school diploma, Mathematics background","$2,000 per year",Above 75%,6.0,
University of Delhi,India,Top 500 in the world,Economics,"High school diploma, Economics background","$1,800 per year",Above 70%,6.0,
University of Delhi,India,Top 500 in the world,History,"High school diploma, History background","$1,700 per year",Above 65%,6.0,
University of Wuppertal,Germany,Not in top rankings,Computer Science,"High school diploma, good grades in mathematics and physics, IELTS 6.5","$1,500 per semester",Minimum 75% in relevant subjects,6.5
University of Wuppertal,Germany,Not in top rankings,Business Administration,"High school diploma, IELTS 6.0","$2,000 per semester",Minimum 70% overall,6.0
University of Regina,Canada,Not in top rankings,Environmental Studies,"High school diploma, IELTS 6.0","$8,000 per year",Minimum 65% overall,6.0
University of Regina,Canada,Not in top rankings,Social Work,"High school diploma, IELTS 6.5","$7,500 per year",Minimum 70% overall,6.5
University of Western Sydney,Australia,Not in top rankings,Media and Communication,"High school diploma, IELTS 6.0","$15,000 per year",Minimum 70% overall,6.0
University of Western Sydney,Australia,Not in top rankings,Nursing,"High school diploma, IELTS 7.0","$16,500 per year",Minimum 75% overall,7.0
University of Mumbai,India,Not in top rankings,Biotechnology,"High school diploma, good grades in biology and chemistry, IELTS 6.0","$3,000 per year",Minimum 65% in relevant subjects,6.0
University of Mumbai,India,Not in top rankings,Commerce,"High school diploma, IELTS 6.5","$2,500 per year",Minimum 70% overall,6.5
University of Tasmania,Australia,Not in the top 500,Bachelor of Environmental Science,"High School Diploma, minimum GPA 2.5","$25,000 per year",Minimum B average,Overall 6.0
University of Tasmania,Australia,Not in the top 500,Master of Information Technology,"Bachelor's degree in related field, minimum GPA 3.0","$30,000 per year",Minimum B+ average,Overall 6.5
San Diego State University,USA,Not in the top 500,Bachelor of Fine Arts,"High School Diploma, minimum GPA 2.8","$19,000 per year",Minimum B average,Overall 6.0
San Diego State University,USA,Not in the top 500,Master of Public Health,"Bachelor's degree in related field, minimum GPA 3.0","$24,000 per year",Minimum B average,Overall 6.5
University of Western Ontario,Canada,Not in the top 500,Bachelor of Social Work,"High School Diploma, minimum GPA 3.0","$22,000 per year",Minimum B+ average,Overall 6.5
University of Western Ontario,Canada,Not in the top 500,Master of Engineering,"Bachelor's degree in related field, minimum GPA 3.2","$28,000 per year",Minimum A- average,Overall 7.0
TU Dortmund University,Germany,Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, Maths and Physics background","$1,500 per semester",Minimum 70% in high school,6.5
TU Dortmund University,Germany,Not in top rankings,Master in Computer Science,Bachelor's degree in relevant field,"$2,000 per semester",Minimum 75% in bachelor's degree,7.0
University of Manitoba,Canada,Not in top rankings,Bachelor of Fine Arts,Portfolio submission,"$7,000 per year",N/A,6.0
University of Manitoba,Canada,Not in top rankings,Master of Public Administration,Bachelor's degree in any discipline,"$10,000 per year",Minimum 65% in bachelor's degree,6.5
University of Newcastle,Australia,Not in top rankings,Bachelor of Environmental Science,High school diploma with Science background,"$9,000 per semester",Minimum 60% in high school,6.5
University of Newcastle,Australia,Not in top rankings,Master of Marketing,Bachelor's degree in any field,"$12,000 per semester",Minimum 70% in bachelor's degree,7.0
University of Chester,UK,Not in top rankings,Bachelor of History,High school diploma,"£9,250 per year",Minimum 65% in high school,6.0
University of Chester,UK,Not in top rankings,Master of Business Administration,Bachelor's degree in any field,"£12,500 per year",Minimum 70% in bachelor's degree,6.5
Indian Institute of Technology Roorkee,India,Not in top rankings,Bachelor of Architecture,High school diploma with Mathematics,"INR 2,00,000 per year",Minimum 75% in high school,6.5
Indian Institute of Technology Roorkee,India,Not in top rankings,Master of Computer Applications,Bachelor's degree in Computer Science,"INR 1,50,000 per year",Minimum 70% in bachelor's degree,6.0
University of Sussex,United Kingdom,Not in the top rankings,BSc in Psychology,"AAA at A-levels or equivalent, IELTS 6.5","$17,000 per year",AAA at A-levels or equivalent,6.5
University of Sussex,United Kingdom,Not in the top rankings,BA in History,"AAB at A-levels or equivalent, IELTS 6.0","$16,500 per year",AAB at A-levels or equivalent,6.0
University of Sussex,United Kingdom,Not in the top rankings,MSc in Sustainable Development,"Upper second-class degree or equivalent, IELTS 6.5","$19,000 per year",Upper second-class degree or equivalent,6.5
University of Adelaide,Australia,Not in the top rankings,Bachelor of Engineering (Civil),"ATAR 75 or equivalent, IELTS 6.0","$24,000 per year",ATAR 75 or equivalent,6.0
University of Adelaide,Australia,Not in the top rankings,Bachelor of Nursing,"ATAR 70 or equivalent, IELTS 7.0","$25,500 per year",ATAR 70 or equivalent,7.0
University of Adelaide,Australia,Not in the top rankings,Master of Marketing,"Bachelor's degree or equivalent, IELTS 6.5","$27,500 per year",Bachelor's degree or equivalent,6.5
RWTH Aachen University,Germany,Not in the top rankings,Bachelor in Mechanical Engineering,"German Abitur or equivalent, IELTS 6.0","€1,000 per semester",German Abitur or equivalent,6.0
RWTH Aachen University,Germany,Not in the top rankings,Master in Computer Science,"Bachelor's degree in relevant field, IELTS 6.5",€500 per semester,Bachelor's degree in relevant field,6.5
RWTH Aachen University,Germany,Not in the top rankings,PhD in Chemistry,"Master's degree in Chemistry, IELTS 7.0",€500 per semester,Master's degree in Chemistry,7.0
University of Ottawa,Canada,Not in the top rankings,BSc in Biomedical Science,"85% average in high school, IELTS 6.5","$26,000 per year",85% average in high school,6.5
University of Ottawa,Canada,Not in the top rankings,BA in Communication Studies,"80% average in high school, IELTS 6.0","$24,500 per year",80% average in high school,6.0
University of Ottawa,Canada,Not in the top rankings,MEng in Electrical Engineering,"Bachelor's degree in relevant field, IELTS 6.5","$28,000 per year",Bachelor's degree in relevant field,6.5
University of North Carolina at Charlotte,United States,Not in the top rankings,BS in Public Health,"SAT score of 1100, IELTS 6.0","$20,000 per year",SAT score of 1100,6.0
University of North Carolina at Charlotte,United States,Not in the top rankings,BA in Political Science,"SAT score of 1050, IELTS 6.5","$19,500 per year",SAT score of 1050,6.5
University of North Carolina at Charlotte,United States,Not in the top rankings,MS in Data Science,"Bachelor's degree in relevant field, IELTS 6.5","$22,000 per year",Bachelor's degree in relevant field,6.5
Hochschule Fresenius,Germany,Not in top rankings,International Business Management,"High school diploma, CV, Letter of motivation","$10,000 per year",Minimum GPA 2.5,6.5
Hochschule Fresenius,Germany,Not in top rankings,Digital Marketing,"Bachelor's degree, Work experience","$12,000 per year",Minimum GPA 3.0,7.0
Deakin University,Australia,Not in top rankings,Creative Writing,"High school diploma, Portfolio of work","$18,000 per year",Minimum GPA 2.0,6.0
Deakin University,Australia,Not in top rankings,Sports Management,"Bachelor's degree, Interview","$16,000 per year",Minimum GPA 2.5,6.5
University of Stuttgart,Germany,501-600,Mechanical Engineering,"High school diploma, GPA 3.0 or equivalent, IELTS 6.5","$1,500 per semester",GPA 3.0,6.5
University of Stuttgart,Germany,501-600,Computer Science,"High school diploma, GPA 3.2 or equivalent, IELTS 6.0","$2,000 per semester",GPA 3.2,6.0
"University of Nevada, Reno",USA,601-800,Environmental Science,"Bachelor's degree, GPA 2.75 or equivalent, IELTS 6.0","$8,000 per semester",GPA 2.75,6.0
"University of Nevada, Reno",USA,601-800,Hospitality Management,"Bachelor's degree, GPA 3.0 or equivalent, IELTS 6.5","$9,500 per semester",GPA 3.0,6.5
University of Windsor,Canada,601-800,Nursing,"Bachelor's degree in Nursing, GPA 3.5 or equivalent, IELTS 7.0","$6,500 per semester",GPA 3.5,7.0
University of Windsor,Canada,601-800,Business Administration,"Bachelor's degree, GPA 3.2 or equivalent, IELTS 6.5","$7,200 per semester",GPA 3.2,6.5
Queen's University Belfast,UK,401-500,Biomedical Sciences,"High school diploma, GPA 3.0 or equivalent, IELTS 6.5","£4,500 per semester",GPA 3.0,6.5
Queen's University Belfast,UK,401-500,History,"High school diploma, GPA 2.8 or equivalent, IELTS 6.0","£4,000 per semester",GPA 2.8,6.0
University of Hyderabad,India,601-800,Political Science,"Bachelor's degree, GPA 3.0 or equivalent, IELTS 6.0","INR 50,000 per semester",GPA 3.0,6.0
University of Hyderabad,India,601-800,Computer Applications,"Bachelor's degree, GPA 3.2 or equivalent, IELTS 6.5","INR 60,000 per semester",GPA 3.2,6.5
University of Hertfordshire,United Kingdom,Not in top rankings,Bachelor of Arts in Psychology,"Minimum grades of BBB at A-levels or equivalent, IELTS 6.0","$15,000 per year",BBB,6.0
University of Hertfordshire,United Kingdom,Not in top rankings,Master of Science in Computer Science,"Minimum 2:2 honors degree or equivalent, IELTS 6.5","$17,500 per year",2:2,6.5
University of Hertfordshire,United Kingdom,Not in top rankings,PhD in Business Administration,"Master's degree, research proposal, IELTS 7.0","$20,000 per year",Master's degree,7.0
University of Ontario Institute of Technology,Canada,Not in top rankings,Bachelor of Science in Forensic Psychology,"Minimum 75% in high school, IELTS 6.5","$13,000 per year",75%,6.5
University of Ontario Institute of Technology,Canada,Not in top rankings,Master of Engineering in Automotive Engineering,"Bachelor's degree in Engineering, IELTS 6.5","$15,500 per year",Bachelor's degree,6.5
University of Ontario Institute of Technology,Canada,Not in top rankings,PhD in Health Sciences,"Master's degree in related field, research experience, IELTS 7.0","$18,000 per year",Master's degree,7.0
RMIT University,Australia,Not in top rankings,Bachelor of Arts in Fashion Design,"ATAR of 70 or equivalent, IELTS 6.0","$20,000 per year",ATAR 70,6.0
RMIT University,Australia,Not in top rankings,Master of Business Administration,"Bachelor's degree in any field, work experience, IELTS 6.5","$25,000 per year",Bachelor's degree,6.5
RMIT University,Australia,Not in top rankings,PhD in Biomedical Science,"Master's degree in relevant field, research proposal, IELTS 7.0","$28,000 per year",Master's degree,7.0
University of Wollongong,Australia,Not in the top rankings,Bachelor of Arts,"Minimum 70% in high school, IELTS 6.0","$26,000 per year",70%+,6.0
University of Wollongong,Australia,Not in the top rankings,Bachelor of Science in Computer Science,"Minimum 75% in high school, IELTS 6.5","$28,000 per year",75%+,6.5
University of Wollongong,Australia,Not in the top rankings,Master of Business Administration,"Bachelor's degree with minimum GPA 3.0, IELTS 7.0","$32,000 per year",3.0 GPA+,7.0
University of Calgary,Canada,Not in the top rankings,Bachelor of Engineering,"Minimum 75% in high school, IELTS 6.5","$20,000 per year",75%+,6.5
University of Calgary,Canada,Not in the top rankings,Bachelor of Nursing,"Minimum 80% in high school, IELTS 7.0","$22,000 per year",80%+,7.0
University of Calgary,Canada,Not in the top rankings,Master of Public Health,"Bachelor's degree with minimum GPA 3.0, IELTS 7.0","$25,000 per year",3.0 GPA+,7.0
University of Warwick,United Kingdom,Not in the top rankings,Bachelor of Economics,"Minimum 75% in high school, IELTS 6.5","£20,000 per year",75%+,6.5
University of Warwick,United Kingdom,Not in the top rankings,Bachelor of Law,"Minimum 80% in high school, IELTS 7.0","£22,000 per year",80%+,7.0
University of Warwick,United Kingdom,Not in the top rankings,Master of Engineering Management,"Bachelor's degree with minimum GPA 3.0, IELTS 7.0","£25,000 per year",3.0 GPA+,7.0
University of Delhi,India,Not in the top rankings,Bachelor of Commerce,"Minimum 70% in high school, IELTS 6.0","₹50,000 per year",70%+,6.0
University of Delhi,India,Not in the top rankings,Bachelor of Psychology,"Minimum 75% in high school, IELTS 6.5","₹55,000 per year",75%+,6.5
University of Delhi,India,Not in the top rankings,Master of Social Work,"Bachelor's degree with minimum GPA 3.0, IELTS 7.0","₹60,000 per year",3.0 GPA+,7.0
University of South Australia,Australia,Top 400-500,Bachelor of Information Technology,"High school diploma, Math and Science background, IELTS 6.0","$25,000",Minimum B grade in relevant subjects,6.0
University of South Australia,Australia,Top 400-500,Master of Business Administration,"Bachelor's degree, Work experience, IELTS 6.5","$30,000",Minimum B grade in undergraduate studies,6.5
University of South Australia,Australia,Top 400-500,Bachelor of Nursing,"High school diploma, Biology background, IELTS 7.0","$28,000",Minimum B grade in Science subjects,7.0
University of East London,United Kingdom,Top 1000,Bachelor of Psychology,"High school diploma, Psychology background, IELTS 6.5","$22,000",Minimum B grade in relevant subjects,6.5
University of East London,United Kingdom,Top 1000,Master of Public Health,"Bachelor's degree, Health-related background, IELTS 6.5","$24,000",Minimum B grade in undergraduate studies,6.5
University of East London,United Kingdom,Top 1000,Bachelor of Architecture,"High school diploma, Design background, IELTS 6.0","$25,000",Minimum B grade in relevant subjects,6.0
University of Huddersfield,United Kingdom,Not in the top rankings,Computer Science,"Minimum 60% in relevant subjects, IELTS 6.0","£13,500 per year",60% in relevant subjects,6.0
University of Huddersfield,United Kingdom,Not in the top rankings,Business Management,"Minimum 65% in relevant subjects, IELTS 6.5","£14,000 per year",65% in relevant subjects,6.5
University of Huddersfield,United Kingdom,Not in the top rankings,Psychology,"Minimum 55% in relevant subjects, IELTS 6.0","£13,000 per year",55% in relevant subjects,6.0
Arizona State University,United States,Not in the top rankings,Environmental Science,"GPA 2.5, IELTS 6.0","$10,710 per semester",GPA 2.5,6.0
Arizona State University,United States,Not in the top rankings,Hospitality Management,"GPA 3.0, IELTS 6.5","$12,634 per semester",GPA 3.0,6.5
Arizona State University,United States,Not in the top rankings,Political Science,"GPA 2.8, IELTS 6.5","$11,876 per semester",GPA 2.8,6.5
Bielefeld University,Germany,Not in top rankings,Computer Science,"High School Diploma, Mathematics background, IELTS 6.5","$1,500 per semester",Minimum B average,6.5
Bielefeld University,Germany,Not in top rankings,Environmental Studies,"Bachelor's degree in related field, IELTS 6.0","$2,000 per semester",Minimum B- average,6.0
University of North Alabama,USA,Regional university,Hospitality Management,"High School Diploma, IELTS 6.0","$7,000 per semester",Minimum C average,6.0
University of North Alabama,USA,Regional university,Criminal Justice,"Bachelor's degree, IELTS 6.5","$6,500 per semester",Minimum B- average,6.5
University of the Fraser Valley,Canada,Primarily Undergraduate university,Graphic and Digital Design,"Portfolio, IELTS 6.0","$5,500 per semester",Minimum B average,6.0
University of the Fraser Valley,Canada,Primarily Undergraduate university,Criminology,"High School Diploma, IELTS 6.5","$6,000 per semester",Minimum B- average,6.5
University of Sunderland,UK,Not in top rankings,Business Management,"Bachelor's degree, IELTS 6.5","$7,500 per semester",Minimum B average,6.5
University of Sunderland,UK,Not in top rankings,Public Health,"Bachelor's degree in related field, IELTS 6.0","$7,000 per semester",Minimum B- average,6.0
University of Southern Queensland,Australia,Regional university,Education,"Bachelor's degree, IELTS 6.0","$8,000 per semester",Minimum B average,6.0
University of Southern Queensland,Australia,Regional university,Psychology,"Bachelor's degree in related field, IELTS 6.5","$8,500 per semester",Minimum B- average,6.5
Amity University,India,Private university,Biotechnology,"High School Diploma, IELTS 6.5","$3,000 per semester",Minimum B average,6.5
Amity University,India,Private university,Journalism and Mass Communication,"High School Diploma, IELTS 6.0","$2,500 per semester",Minimum B- average,6.0
University of Bayreuth,Germany,Top 50 in Germany,Bachelor in Economics,"High school diploma, GPA above 3.0, IELTS 6.0","$4,000 per semester",Above 3.0 GPA,6.0
University of Bayreuth,Germany,Top 50 in Germany,Master in African Verbal and Visual Arts,"Bachelor's degree, GPA above 3.3, IELTS 6.5","$3,500 per semester",Above 3.3 GPA,6.5
University of New Haven,USA,Regional University North,Bachelor in Marine Biology,"High school diploma, GPA above 2.5, IELTS 6.0","$35,000 per year",Above 2.5 GPA,6.0
University of New Haven,USA,Regional University North,Master in National Security,"Bachelor's degree, GPA above 3.0, IELTS 6.5","$20,000 per year",Above 3.0 GPA,6.5
University of Salford,UK,Top 80 in the UK,Bachelor in International Business,"High school diploma, GPA above 2.8, IELTS 6.0","$13,000 per year",Above 2.8 GPA,6.0
University of Salford,UK,Top 80 in the UK,Master in Media Production,"Bachelor's degree, GPA above 3.0, IELTS 6.5","$16,000 per year",Above 3.0 GPA,6.5
Savitribai Phule Pune University,India,Top 10 in India,Bachelor in Computer Science,"High school diploma, GPA above 3.0, IELTS 6.0","$2,000 per year",Above 3.0 GPA,6.0
Savitribai Phule Pune University,India,Top 10 in India,Master in Biotechnology,"Bachelor's degree, GPA above 3.3, IELTS 6.5","$3,000 per year",Above 3.3 GPA,6.5
University of Potsdam,Germany,Not in top rankings,Computer Science,"High school diploma, Mathematics proficiency, IELTS 6.5","€3,000 per year",Minimum 75% in high school,6.5
University of Potsdam,Germany,Not in top rankings,Environmental Management,"Bachelor's degree in related field, IELTS 6.0","€2,500 per year",Minimum GPA 2.5 in Bachelor's degree,6.0
University of North Dakota,USA,Not in top rankings,Aviation Management,"High school diploma, IELTS 6.0","$8,000 per semester",Minimum 70% in high school,6.0
University of North Dakota,USA,Not in top rankings,Social Work,"Bachelor's degree in related field, IELTS 6.5","$7,500 per semester",Minimum GPA 2.7 in Bachelor's degree,6.5
University of New Brunswick,Canada,Not in top rankings,Civil Engineering,"High school diploma, Mathematics proficiency, IELTS 6.5","$12,000 per year",Minimum 75% in high school,6.5
University of New Brunswick,Canada,Not in top rankings,Biomedical Engineering,"Bachelor's degree in related field, IELTS 6.0","$11,000 per year",Minimum GPA 2.5 in Bachelor's degree,6.0
University of East Anglia,UK,Not in top rankings,Development Economics,"Bachelor's degree in Economics or related field, IELTS 7.0","£9,000 per year",Minimum GPA 3.0 in Bachelor's degree,7.0
University of East Anglia,UK,Not in top rankings,Climate Change Management,"Bachelor's degree in Environmental Science or related field, IELTS 6.5","£8,500 per year",Minimum GPA 2.7 in Bachelor's degree,6.5
University of Marburg,Germany,Not in top rankings,Bachelor of Computer Science,"High school diploma, Math background, IELTS 6.5","$5,000 per year",Minimum GPA 2.5,6.5
University of Marburg,Germany,Not in top rankings,Master of Economics,"Bachelor's degree in Economics or related field, IELTS 6.0","$7,000 per year",Minimum GPA 3.0,6.0
"University of Nevada, Las Vegas",USA,Not in top rankings,Bachelor of Fine Arts,"Portfolio submission, IELTS 6.0","$8,500 per semester",Minimum GPA 2.0,6.0
"University of Nevada, Las Vegas",USA,Not in top rankings,Master of Public Administration,"Bachelor's degree, GRE scores, IELTS 6.5","$12,000 per semester",Minimum GPA 3.0,6.5
University of Derby,UK,Not in top rankings,Bachelor of Tourism Management,"High school diploma, Recommendation letter, IELTS 6.0","$7,500 per year",Minimum GPA 2.5,6.0
University of Derby,UK,Not in top rankings,Master of Marketing,"Bachelor's degree, Work experience, IELTS 6.5","$10,000 per year",Minimum GPA 3.0,6.5
Technical University of Munich,Germany,Top 100,Computer Science,"High School Diploma, Grades: 1.5 or better, IELTS: 6.5","$1,500 per semester",1.5 or better,6.5
Technical University of Munich,Germany,Top 100,Mechanical Engineering,"High School Diploma, Grades: 2.0 or better, IELTS: 6.0","$1,800 per semester",2.0 or better,6.0
Simon Fraser University,Canada,Top 300,Business Administration,"High School Diploma, Grades: B+ or better, IELTS: 6.5","$8,000 per semester",B+ or better,6.5
Simon Fraser University,Canada,Top 300,Environmental Science,"High School Diploma, Grades: B or better, IELTS: 6.0","$7,500 per semester",B or better,6.0
Indian Institute of Science (IISc) Bangalore,India,Top 50,Biotechnology,"Bachelor's Degree, Grades: 60% or better, IELTS: 6.5","INR 50,000 per semester",60% or better,6.5
Indian Institute of Science (IISc) Bangalore,India,Top 50,Aerospace Engineering,"Bachelor's Degree, Grades: 55% or better, IELTS: 6.0","INR 45,000 per semester",55% or better,6.0
University of Bremen,Germany,Not in top rankings,Environmental Sciences,"High school diploma, GPA of 2.5 or higher, IELTS 6.0","$4,000 per year",GPA 2.5 or higher,6.0
University of Bremen,Germany,Not in top rankings,Computer Science,"High school diploma, GPA of 3.0 or higher, IELTS 6.5","$5,000 per year",GPA 3.0 or higher,6.5
University of Bremen,Germany,Not in top rankings,Business Administration,"High school diploma, GPA of 2.8 or higher, IELTS 6.0","$4,500 per year",GPA 2.8 or higher,6.0
University of Saskatchewan,Canada,Not in top rankings,Psychology,"High school diploma, GPA of 3.0 or higher, IELTS 6.5","$6,200 per year",GPA 3.0 or higher,6.5
University of Saskatchewan,Canada,Not in top rankings,Civil Engineering,"High school diploma, GPA of 2.8 or higher, IELTS 6.0","$6,500 per year",GPA 2.8 or higher,6.0
University of Saskatchewan,Canada,Not in top rankings,Nutrition and Food Sciences,"High school diploma, GPA of 3.2 or higher, IELTS 6.5","$6,800 per year",GPA 3.2 or higher,6.5
University of Liverpool,United Kingdom,Not in top rankings,Film Studies,"High school diploma, GPA of 2.7 or higher, IELTS 6.0","$8,000 per year",GPA 2.7 or higher,6.0
University of Liverpool,United Kingdom,Not in top rankings,Archaeology,"High school diploma, GPA of 3.0 or higher, IELTS 6.5","$8,500 per year",GPA 3.0 or higher,6.5
University of Liverpool,United Kingdom,Not in top rankings,Fashion Marketing,"High school diploma, GPA of 2.8 or higher, IELTS 6.0","$7,500 per year",GPA 2.8 or higher,6.0
University of Pune,India,Not in top rankings,Biotechnology,"High school diploma, GPA of 2.7 or higher, IELTS 6.0","INR 50,000 per year",GPA 2.7 or higher,6.0
University of Pune,India,Not in top rankings,Journalism and Mass Communication,"High school diploma, GPA of 3.0 or higher, IELTS 6.5","INR 60,000 per year",GPA 3.0 or higher,6.5
University of Pune,India,Not in top rankings,Interior Design,"High school diploma, GPA of 2.8 or higher, IELTS 6.0","INR 55,000 per year",GPA 2.8 or higher,6.0
University of Graz,Austria,Not ranked,Bachelor of Arts in English Studies,"High school diploma, letter of motivation, language proficiency test","$1,500 per semester",Minimum GPA 2.5,6.0
University of Graz,Austria,Not ranked,Master of Science in Physics,"Bachelor's degree in related field, CV, letter of recommendation","$2,000 per semester",Minimum GPA 3.0,6.5
University of Graz,Austria,Not ranked,PhD in Economics,"Master's degree in Economics, research proposal, interview",No tuition fees for EU/EEA students,Minimum GPA 3.5,7.0
Brock University,Canada,Not ranked,Bachelor of Business Administration,"High school diploma, personal statement, reference letters","$7,000 per semester",Minimum GPA 2.7,6.5
Brock University,Canada,Not ranked,Bachelor of Arts in Psychology,"High school diploma, entrance test, interview","$6,500 per semester",Minimum GPA 3.0,6.0
Brock University,Canada,Not ranked,Master of Education,"Bachelor's degree in Education, teaching experience, statement of intent","$8,500 per semester",Minimum GPA 3.3,7.0
University of Kassel,Germany,Not in top ranks,Computer Science,"Bachelor's degree in related field, GPA 2.5 or higher, IELTS 6.0","$3,000 per semester",GPA 2.5 or higher,6.0
University of Kassel,Germany,Not in top ranks,Environmental Engineering,"Bachelor's degree in engineering, GPA 2.7 or higher, IELTS 6.5","$3,500 per semester",GPA 2.7 or higher,6.5
Heidelberg University,Germany,Not in top rankings,Bachelor of Arts in Political Science,"High school diploma, good academic record","$1,500 per semester",Minimum 70% average,6.5
Heidelberg University,Germany,Not in top rankings,Master of Science in Molecular Biosciences,Bachelor's degree in related field,"$2,000 per semester",Minimum 75% average,7.0
Heidelberg University,Germany,Not in top rankings,PhD in Physics,Master's degree in Physics or related field,No tuition fees for PhD programs,Minimum 80% average,7.0
University of Victoria,Canada,Not in top rankings,Bachelor of Science in Psychology,"High school diploma, good academic record","$8,000 per year",Minimum 75% average,6.5
University of Victoria,Canada,Not in top rankings,Master of Business Administration (MBA),Bachelor's degree in any discipline,"$15,000 per year",Minimum 70% average,7.0
University of Victoria,Canada,Not in top rankings,PhD in Computer Science,Master's degree in Computer Science or related field,"$6,000 per year",Minimum 80% average,7.0
Coventry University,UK,Not in top rankings,Bachelor of Engineering in Civil Engineering,"High school diploma, good academic record","£9,250 per year",Minimum 65% average,6.0
Coventry University,UK,Not in top rankings,Master of Arts in International Relations,Bachelor's degree in any discipline,"£12,500 per year",Minimum 70% average,6.5
Coventry University,UK,Not in top rankings,PhD in Economics,Master's degree in Economics or related field,"£4,500 per year",Minimum 75% average,7.0
Technical University of Dortmund,Germany,Not Available,Computer Science,"High school diploma or equivalent, strong knowledge in mathematics, minimum GPA of 2.5, IELTS 6.0","$3,000 per semester",Minimum GPA of 2.5,6.0
Technical University of Dortmund,Germany,Not Available,Mechanical Engineering,"High school diploma or equivalent, strong foundation in physics and mathematics, minimum GPA of 2.8, IELTS 6.5","$3,200 per semester",Minimum GPA of 2.8,6.5
University of Limerick,Ireland,Not in top rankings,Bachelor of Science in Computer Science,"High School Diploma, Mathematics background","$15,000 per year",Minimum B grade average,6.5
University of Limerick,Ireland,Not in top rankings,Master of Business Administration,Bachelor's degree in related field,"$20,000 per year",Minimum GPA 3.0,6.5
University of Canterbury,New Zealand,Not in top rankings,Bachelor of Arts in Psychology,"High School Diploma, Science background","$22,000 per year",Minimum B grade average,6.0
University of Canterbury,New Zealand,Not in top rankings,Master of Engineering in Civil Engineering,Bachelor's degree in Engineering,"$25,000 per year",Minimum GPA 2.8,6.5
University of Otago,New Zealand,Not in top rankings,Bachelor of Science in Chemistry,"High School Diploma, Science background","$20,500 per year",Minimum B grade average,6.0
University of Otago,New Zealand,Not in top rankings,Master of Science in Neuroscience,Bachelor's degree in related field,"$23,000 per year",Minimum GPA 3.0,6.5
University of Waikato,"Hamilton, New Zealand",Not in top rankings,Bachelor of Laws,"High School Diploma, English background","$19,500 per year",Minimum B grade average,6.0
University of Waikato,"Hamilton, New Zealand",Not in top rankings,"Master of Health, Sport and Human Performance",Bachelor's degree in related field,"$22,000 per year",Minimum GPA 2.8,6.5
University of Kaiserslautern,Germany,Not in the top rankings,Computer Science,"High school diploma, Basic knowledge of programming, IELTS 6.5","$1,500 per semester",Minimum GPA 2.5,6.5
University of Kaiserslautern,Germany,Not in the top rankings,Mechanical Engineering,"High school diploma, Mathematics background, IELTS 6.0","$1,800 per semester",Minimum GPA 3.0,6.0
